Street,K-Means
Sersan Bajuri,0
Guntursari Wetan,0
Karawitan,0
Golf Barat,0
Gerbang Tol Pasir Koja,0
Kawaluyaan,0
Soekarno-Hatta,0
Gempol Sari,0
Pahlawan,0
Gegerkalong Girang,0
Komodor Udara Supadio,0
Kopo,0
Garuda,0
Sukahaji,0
Laswi,0
Lengkong Kecil,0
Dr Rum,0
Pasir Impun,0
HOS Cokroaminoto,0
Sekejati,0
Sederhana,0
Sarijadi,0
Jalan Purwakarta,0
Jalan Menado,0
Pasteur,0
Jalan Kuningan Raya,0
Perintis,0
Jalan Jurang,0
Jalan Jawa,0
Papanggungan,0
Suparmin,0
Jalan Gunung Batu,0
Jalan Cimandiri,0
R A A Martanegara,0
Panghegar,0
Palasari,0
Rancabolang,0
Sadang Serang,0
Pahlawan (Jalur Lambat),0
Sariasih,0
Jalan Cimanuk,0
Logam,0
Sukaraja,0
Ciumbuleuit,0
Cidurian Selatan,0
Ciwaruga Raya,0
Cibolerang,0
Terusan Pasir Koja,0
Pacuan Kuda,0
Caringin,0
Bukit Raya,0
Mustang,0
Tongkeng,0
Batununggal,0
Babakan Sari,0
BKR,0
N11 Jenderal Sudirman,0
Veteran,0
Arah Marga Asih/Katapang/Soreang,0
Anggrek,0
Ajudan Jenderal,0
Terusan Kiaracondong,0
Cigadung Raya Selatan,0
Cicendo,0
Cigondewah Kaler,0
Citra Green,0
Cisatu,0
Suryalaya,0
Talaga Bodas,0
Mahar Martanegara,0
Cinambo,0
Cigending,0
Cikutra Barat,0
Parakan Saat,0
Cijagra,0
Cikondang,0
Cijerah Raya,0
Melong Raya,0
Cijambe,0
Terusan Cisaranten Kulon,0
Pagermaneuh,1
Pagarsih,1
Leuwi Panjang,1
WR Supratman,1
Mohammad Toha,1
Margacinta,1
LLRE Martadinata,1
Jenderal AH Nasution,1
Jenderal Ahmad Yani,1
Jenderal Ibrahim Adjie,1
N11 Soekarno-Hatta,1
N11 Jenderal Haji Amir Machmud,1
Otto Iskandardinata,1
Sukajadi,1
Tamansari,1
Surapati,1
Dipati Ukur,1
Dr Djundjunan,1
Dr Setiabudi,1
Jalan Rumah Sakit,1
Terusan Jakarta,1
Gatot Subroto,1
Gede Bage,1
Terusan Buah Batu,1
Soekarno-Hatta (Jalur Lambat),1
PHH Mustofa,1
Ir Haji Juanda,1
Tol Padaleunyi,1
Buah Batu,1
RA Wiranatakusumah,1
Prof Mochtar Kusumaatmadja,1
Tol Pasteur,1
Cibaduyut Raya,1
Cihampelas,1
Trunojoyo,2
Tubagus Ismail,2
Pelajar Pejuang 45,2
Siliwangi,2
Pajajaran,2
Rajawali Timur,2
Prof Dr Surya Sumantri,2
Prof Dr Ir Sutami,2
Peta,2
Sriwijaya,2
Abdul Rahman Saleh,2
Jalan Sumbawa,2
Mohammad Ramdan,2
Holis,2
Naripan,2
Gerbang Tol Buah Batu,2
Gegerkalong Hilir,2
Ganesha,2
Gandapura,2
Flyover Kiaracondong,2
Diponegoro,2
Ciwastra,2
Ciroyom,2
Cingised,2
Cikutra,2
Cigondewah Rahayu,2
Cigadung Raya Barat,2
Cibodas Raya,2
Bungur,2
Brigjen Katamso,2
Bojong Raya,2
Astana Anyar,2
Asia Afrika,2
Arcamanik Endah,2
Indrayasa,2
Jalan Aceh,2
Gudang Utara,2
Jalan Banda,2
Merdeka,2
Lodaya,2
Kebon Kawung,2
Karapitan,2
KH Wahid Hasyim,2
Jenderal Sudirman,2
Jalan Sunda,2
Jalan Raya Lembang,2
Jalan Raya Dayeuhkolot,2
Jalan Lombok,2
Jalan Kebonjati,2
Wastukencana,2
Jalan Ciliwung,2
Jalan Jakarta,2
Jalan Bengawan,2
Inhoftank,3
Jalan Belitung,3
Hegarmanah,3
Kapten Tata Natanegara,3
Tol Pasir Koja,3
Jalan Cemara,3
Gerbang Tol Mohammad Toha,3
Sirnamanah,3
Patrakomala,3
Terusan Gegerkalong Hilir,3
Cihapit,3
Terusan Cibaduyut,3
Jalan Citarum,3
Pasirmuncang,3
Taman Cibeunying Kidul,3
Jalan Ambon,3
Paskal HyperSquare,3
Dago Giri,3
Jalan Kalimantan,3
Ciparay,3
