Street,Irregularities Length (meters),Irregularities Time Spent (seconds),Irregularities Speed (Km/h),K-Means
Abdul Rahman Saleh,874.0,566.0,5.16,2
Ajudan Jenderal,506.0,611.0,3.0374999999999996,0
Anggrek,599.0,607.5,3.54,0
Arah Marga Asih/Katapang/Soreang,584.0,555.0,3.785,0
Arcamanik Endah,923.0,594.0,5.37,2
Asia Afrika,1087.0,625.0,6.25,2
Astana Anyar,1030.0,603.0,6.24,2
BKR,678.0,583.5,4.79,0
Babakan Sari,568.0,681.0,4.06,0
Batununggal,832.0,729.0,4.1,0
Bojong Raya,609.0,249.5,9.02,2
Brigjen Katamso,736.0,421.5,6.4625,2
Buah Batu,1391.0,636.0,6.95,1
Bukit Raya,751.0,622.0,4.3450003,0
Bungur,533.0,345.0,6.164999999999999,2
Caringin,894.0,755.0,3.9650002,0
Cibaduyut Raya,1359.75,676.5,7.0699997,1
Cibodas Raya,558.0,336.0,6.22,2
Cibolerang,779.0,724.0,4.15,0
Cicendo,614.0,569.5,3.875,0
Cidurian Selatan,650.0,697.5,3.4675000000000002,0
Cigadung Raya Barat,942.0,598.0,5.66,2
Cigadung Raya Selatan,661.0,730.0,3.97,0
Cigending,520.0,577.5,3.2350001,0
Cigondewah Kaler,588.0,650.0,3.25,0
Cigondewah Rahayu,564.0,386.5,5.24,2
Cihampelas,1679.0,885.0,6.415,1
Cihapit,550.0,844.0,2.34,3
Cijagra,576.0,579.0,3.6,0
Cijambe,686.0,768.75,3.0999999999999996,0
Cijerah Raya,661.0,561.0,5.07,0
Cikondang,605.0,670.0,3.24,0
Cikutra,954.0,628.5,6.24,2
Cikutra Barat,833.0,601.0,4.855,0
Cinambo,868.0,731.0,5.03,0
Cingised,710.0,571.0,5.2,2
Ciparay,519.0,858.0,2.325,3
Ciroyom,1135.0,734.0,5.56,2
Cisatu,548.0,753.0,2.705,0
Citra Green,532.0,623.5,3.065,0
Ciumbuleuit,1086.0,861.0,4.85,0
Ciwaruga Raya,632.0,597.5,4.3500004,0
Ciwastra,856.0,532.0,5.86,2
Dago Giri,861.0,1018.0,2.7,3
Dipati Ukur,1273.0,898.0,5.98,1
Diponegoro,907.0,592.0,7.595,2
Dr Djundjunan,1811.0,694.0,8.46,1
Dr Rum,569.0,514.0,3.98,0
Dr Setiabudi,2226.0,894.5,8.645,1
Flyover Kiaracondong,1158.0,554.0,7.515,2
Gandapura,802.0,513.0,5.62,2
Ganesha,514.0,433.5,5.445,2
Garuda,658.0,599.0,3.95,0
Gatot Subroto,1375.0,722.0,7.3450003,1
Gede Bage,1258.0,736.5,6.52,1
